run_id,origin,model,behavior,magnitude,stuck_polarity,start_ms,duration_ms,group,partition,profile,profile_json,target_updates_json,workload,seed,simulation_duration_ms,sensor_variation,profile_semantic_sha256,configuration_sha256,initially_latent_stuck
current_0000,MEMORY,stuck_bit,transient,0,0,24700,9700,operating_family_0,development-train,current_profile_0000,"[{""ambient_temp_c"": 22.0, ""end_ms"": 18100, ""engine_load"": 0.29669999999999996, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.0, ""end_ms"": 49300, ""engine_load"": 0.43, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.0, ""end_ms"": 87100, ""engine_load"": 0.3569, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.0, ""end_ms"": 120000, ""engine_load"": 0.4085, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]",[],static_target,1201,120000,0:0:6000,0edfb8c251f03d293eaeb1f847e3a6bfcc59e3ffcc978ce3195f6ad3464f1dbe,f3dd0c41089e8233706424fdf9b0458b20983fdabef591c564f4f399d9267570,1
current_0001,MEMORY,stuck_bit,intermittent,0,0,25000,13700,operating_family_0,development-train,current_profile_0001,"[{""ambient_temp_c"": 22.003, ""end_ms"": 18100, ""engine_load"": 0.29681729999999995, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.003, ""end_ms"": 49300, ""engine_load"": 0.43017, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.003, ""end_ms"": 87100, ""engine_load"": 0.3570411, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.003, ""end_ms"": 120000, ""engine_load"": 0.40866149999999996, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]","[[30000, 99], [60000, 92]]",authorized_updates,1202,120000,0:0:6000,3dccd86238bb1e7d0eca1bba65b4176e77bfa4762cc6b36497f7635593511bdb,02fe6995de6af9b564a40da3c01333c3ddb2bca5b3eb234694be91065d3d0fb4,1
current_0002,MEMORY,stuck_bit,permanent,0,0,25300,18500,operating_family_0,development-train,current_profile_0002,"[{""ambient_temp_c"": 22.006, ""end_ms"": 18100, ""engine_load"": 0.2969346, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.006, ""end_ms"": 49300, ""engine_load"": 0.43034, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.006, ""end_ms"": 87100, ""engine_load"": 0.3571822, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.006, ""end_ms"": 120000, ""engine_load"": 0.408823, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]",[],static_target,1203,120000,0:0:6000,cea1d6604c8a6746322396d63ceff175170b3fca2d3995eebea5d8d155630518,f67d6924cb75d190e237e6a32ed6e1f59a0615dc723c5c15c7e0845062e992dc,1
current_0003,MEMORY,stuck_bit,transient,0,1,25600,9700,operating_family_0,development-train,current_profile_0003,"[{""ambient_temp_c"": 22.009, ""end_ms"": 18100, ""engine_load"": 0.2970519, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.009, ""end_ms"": 49300, ""engine_load"": 0.43051, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.009, ""end_ms"": 87100, ""engine_load"": 0.3573233, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.009, ""end_ms"": 120000, ""engine_load"": 0.4089845, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]","[[30000, 99], [60000, 92]]",authorized_updates,1204,120000,0:0:6000,f94c902583fd405a9ce74d4f07b531e5498a342d505a261727e1dabb08cfb86b,3dcc7ed222ef46414ca719a2c33b0f4bb0ef4f20833240cb1b990dff49734536,0
current_0004,MEMORY,stuck_bit,intermittent,0,1,25900,13700,operating_family_0,development-train,current_profile_0004,"[{""ambient_temp_c"": 22.012, ""end_ms"": 18100, ""engine_load"": 0.29716919999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.012, ""end_ms"": 49300, ""engine_load"": 0.43068, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.012, ""end_ms"": 87100, ""engine_load"": 0.3574644, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.012, ""end_ms"": 120000, ""engine_load"": 0.409146, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]",[],static_target,1205,120000,0:0:6000,7e57d97c47773f8e9b3ec9fab84111e6a7fa5c11fbec152e57bfd2a436008462,d12501a6eba17f979a49ccf89c29e87dd32f3969cf7f8ba0fdefc228d4ae63d9,0
current_0005,MEMORY,stuck_bit,permanent,0,1,26200,18500,operating_family_0,development-train,current_profile_0005,"[{""ambient_temp_c"": 22.015, ""end_ms"": 18100, ""engine_load"": 0.2972865, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.015, ""end_ms"": 49300, ""engine_load"": 0.43085, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.015, ""end_ms"": 87100, ""engine_load"": 0.35760549999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.015, ""end_ms"": 120000, ""engine_load"": 0.4093075, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]","[[30000, 99], [60000, 92]]",authorized_updates,1206,120000,0:0:6000,79167e0fca241a854ff2d5fc6e25fe9bf4cbdcf83e1f389fff3ec439d426d9b3,af89ce931f5bdbbf71b44abb13b24c44c15f58bafc3a64c4d249cb15c8c413d5,0
current_0006,MEMORY,stuck_bit,transient,1,0,26500,9700,operating_family_0,development-train,current_profile_0006,"[{""ambient_temp_c"": 22.018, ""end_ms"": 18100, ""engine_load"": 0.2974038, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.018, ""end_ms"": 49300, ""engine_load"": 0.43102, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.018, ""end_ms"": 87100, ""engine_load"": 0.35774659999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.018, ""end_ms"": 120000, ""engine_load"": 0.40946899999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]",[],static_target,1207,120000,0:0:6000,c08070ec2f726cfb6fd161786650144273495adc219e025744176df959f62400,b71189f30fa0d7d97fd4a02c9f7020b2868a95aacb1e2b8a6dc9591e7f02c2f7,1
current_0007,MEMORY,stuck_bit,intermittent,1,0,26800,13700,operating_family_0,development-train,current_profile_0007,"[{""ambient_temp_c"": 22.021, ""end_ms"": 18100, ""engine_load"": 0.2975211, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.021, ""end_ms"": 49300, ""engine_load"": 0.43119, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.021, ""end_ms"": 87100, ""engine_load"": 0.3578877, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.021, ""end_ms"": 120000, ""engine_load"": 0.4096305, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]","[[30000, 99], [60000, 92]]",authorized_updates,1208,120000,0:0:6000,52d4f8168aefc685ca7d084e75e8d72aa0385b69997f34e71a627202d8ab759f,ba415fd0952c197533b5c04c163ba3160e04fbaf5ea03615f6444422721f659e,1
current_0008,MEMORY,stuck_bit,permanent,1,0,24700,18500,operating_family_0,development-train,current_profile_0008,"[{""ambient_temp_c"": 22.024, ""end_ms"": 18100, ""engine_load"": 0.29763839999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.024, ""end_ms"": 49300, ""engine_load"": 0.43135999999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.024, ""end_ms"": 87100, ""engine_load"": 0.3580288, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.024, ""end_ms"": 120000, ""engine_load"": 0.40979199999999993, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]",[],static_target,1209,120000,0:0:6000,c0b63bcdea93a7f84d472af5ff08961399b99ce985dc8925e5396d0bee3405f6,144c569131ff23286989247799f24872fa88b44ce7a7401c5bdc8da091df8b61,1
current_0009,MEMORY,stuck_bit,transient,1,1,25000,9700,operating_family_0,development-train,current_profile_0009,"[{""ambient_temp_c"": 22.027, ""end_ms"": 18100, ""engine_load"": 0.29775569999999996, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 0, ""vehicle_speed_kph"": 48.989999999999995}, {""ambient_temp_c"": 22.027, ""end_ms"": 49300, ""engine_load"": 0.43152999999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 18100, ""vehicle_speed_kph"": 71}, {""ambient_temp_c"": 22.027, ""end_ms"": 87100, ""engine_load"": 0.35816989999999993, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 49300, ""vehicle_speed_kph"": 58.93}, {""ambient_temp_c"": 22.027, ""end_ms"": 120000, ""engine_load"": 0.40995349999999997, ""external_airflow_factor"": 0, ""road_slope_percent"": 0, ""start_ms"": 87100, ""vehicle_speed_kph"": 67.45}]","[[30000, 99], [60000, 92]]",authorized_updates,1210,120000,0:0:6000,be8e172a8624359fb7408f4a980f76fd65f4b9b6cb945e87d52e02b331063393,3e32ddf731b93504287ae89eb0e58e987be22cf374bf63932475ac81b94c5f70,0
